[19:40:43.828] INFO  - Batch: 0
[19:40:58.951] INFO  - Batch: 1000
[19:41:01.674] INFO  - Epoch: 1
[19:41:18.884] INFO  - Batch: 2000
[19:41:26.947] INFO  - Epoch: 2
[19:41:40.773] INFO  - Batch: 3000
[19:41:51.391] INFO  - Epoch: 3
[19:42:01.402] INFO  - Batch: 4000
[19:42:16.670] INFO  - Epoch: 4
[19:42:23.113] INFO  - Batch: 5000
[19:42:45.984] INFO  - Epoch: 5
[19:42:48.482] INFO  - Batch: 6000
[19:43:06.670] INFO  - Batch: 7000
[19:43:08.107] INFO  - Epoch: 6
[19:43:28.101] INFO  - Batch: 8000
[19:43:34.090] INFO  - Epoch: 7
[19:43:49.894] INFO  - Batch: 9000
[19:44:01.784] INFO  - Epoch: 8
[19:44:15.553] INFO  - Batch: 10000
[19:44:31.809] INFO  - Epoch: 9
[19:44:39.871] INFO  - Batch: 11000
[19:45:00.180] INFO  - Epoch: 10
[19:45:06.132] INFO  - Batch: 12000
[19:45:28.607] INFO  - Epoch: 11
[19:45:28.962] INFO  - Batch: 13000
[19:45:47.347] INFO  - Batch: 14000
[19:45:51.212] INFO  - Epoch: 12
[19:46:14.159] INFO  - Batch: 15000
[19:46:21.084] INFO  - Epoch: 13
[19:46:35.310] INFO  - Batch: 16000
[19:46:50.435] INFO  - Epoch: 14
[19:47:00.891] INFO  - Batch: 17000
[19:47:15.562] INFO  - Epoch: 15
[19:47:21.589] INFO  - Batch: 18000
[19:47:44.521] INFO  - Epoch: 16
[19:47:46.745] INFO  - Batch: 19000
[19:48:11.429] INFO  - Batch: 20000
[19:48:12.880] INFO  - Epoch: 17
[19:48:31.959] INFO  - Batch: 21000
[19:48:37.478] INFO  - Epoch: 18
[19:48:53.678] INFO  - Batch: 22000
[19:49:02.548] INFO  - Epoch: 19
[19:49:14.643] INFO  - Batch: 23000
[19:49:31.087] INFO  - Test: 0.11349999904632568
